title,label
20 BuzzFeed Articles It's Probably OK That I Never Finished,clickbait
Pigskin A Blanket: NFL Conference Championship Picks,clickbait
When Relationship Introductions Get Awkward,clickbait
You Might Be Food Shopping Wrong,clickbait
27 Underrated Makeup Brands Everyone Should Know About,clickbait
We Know Your Favorite Artist Based On Your Zodiac Sign,clickbait
17 Things Everyone With Strong Eyebrows Knows To Be True,clickbait
17 Creepy Videos That Will Send A Chill Down Your Spine,clickbait
"Hunted by Puma, It Flees, but Against Fox, It Fights",not-clickbait
Riots in Nigeria kill nearly 400,not-clickbait
Here Are All The Parts Of A Cat You Need To Know,clickbait
"The One Mind-Blowing Detail You Missed In ""The Little Mermaid""",clickbait
6 Struggles Only Atheists Understand,clickbait
Decline and Fall of the U.S.: A View From 2089,not-clickbait
Guidant announces more defibrillator problems,not-clickbait
Woman Files Complaint Against Bernie Williams,not-clickbait
'Very serious': Chinese government releases corruption report,not-clickbait
Head of Joint Chiefs Praises Pakistani Operation,not-clickbait
Many nations offer material aid to hurricane victims; Bush refuses to accept,not-clickbait
Chinese City Bolsters Scant Consumer Spending With Free Vouchers,not-clickbait
A Photo Of Demi Lovato Has Now Become A Huge Meme Called Poot,clickbait
Study raises health concerns about shower curtains,not-clickbait
Watch This Boyfriend Blindly Guess Which Hand Belongs To His Boyfriend,clickbait
McEnroe Wants Academy to Revive Tennis in New York,not-clickbait
French tourists killed in California bus rollover accident,not-clickbait
Final draw sets groups for FIFA World Cup 2010,not-clickbait
Washington Train Crash Prompts Safety Warning,not-clickbait
Kristen Bell And Dax Shepard Dancing Through Africa Will Restore Your Faith In Love,clickbait
11 Pieces Of Wisdom To Read Whenever You're Feeling Down,clickbait
Oldest living European person reaches age 114,not-clickbait
US retailer Circuit City files for bankruptcy protection,not-clickbait
Lil Mama Has Managed To Become A Hilarious Meme,clickbait
17 Things You Only See At A Historically Black College Homecoming,clickbait
Which One Direction Music Video Is Your Favorite,clickbait
"What's The Best ""Yahoo Answers"" Question You've Ever Seen",clickbait
21 Reasons Why No One Should Have New York Values,clickbait
"Tens of thousands of workers demonstrate in Ljubljana, Slovenia",not-clickbait
"Avenged Sevenfold drummer James ""The Rev"" Sullivan found dead at age 28",not-clickbait
Man dies in Serbian enclave; could not call ambulance,not-clickbait
"Speeding ticket paid with 12,000 pennies",not-clickbait
Xbox 360 shortages expected on debut day in Europe,not-clickbait
"In April, Fed Weighed Purchase of More Debt",not-clickbait
St Paul's cathedral to shut down following 'Occupy' protest,not-clickbait
What's The Worst Thing You've Ever Smelled,clickbait
"Which Zodiac Should You Date Based On Your Favorite ""Game Of Thrones"" Character",clickbait
Tarja Turunen to perform at Doro Pesch's 25th anniversary concert and record duets with her,not-clickbait
United States Senator Ted Kennedy rushed to the hospital,not-clickbait
24 Tweets That Will Make Every Nurse Laugh Out Loud,clickbait
29 Pictures That Will Give You Severe Flashbacks To The Late '90s And Early '00s,clickbait
16 Black Friday Horror Stories That Prove Retail Employees Are Saints,clickbait
